,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
hsa-miR-1252-3p,0.227830115,0,0.608553009,0,1,NA
hsa-miR-1252-5p,3.310008302,1.20601165,0.583110087,2.068240076,0.038617453,0.143377567
hsa-miR-1253,0.420712345,0.440610899,0.751348308,0.586426952,0.557588637,NA
hsa-miR-1254,21.09803348,0.520086554,0.251978546,2.064011251,0.03901665,0.144242548
hsa-miR-1255a,3.553905926,-0.054629473,0.532466473,-0.102597019,0.918282809,0.972354153
hsa-miR-1255b-2-3p,0.250686092,0.526347995,0.72292711,0.728078928,0.466565272,NA
hsa-miR-1255b-5p,0.552436147,-0.783697787,0.699201842,-1.120846284,0.262353299,NA
hsa-miR-1256,1.09230775,0.193449484,0.708369697,0.273091134,0.784783162,NA
hsa-miR-1257,0.288143479,0.119937593,0.682166812,0.17581857,0.86043648,NA
hsa-miR-1258,2.173124742,0.550571637,0.619649991,0.888520366,0.374260906,0.636736727
hsa-miR-125a-3p,12.5242822,-0.453075755,0.385819542,-1.174320388,0.24026672,0.489414895
hsa-miR-125a-5p,19344.82992,-0.242502985,0.178857554,-1.355844245,0.17514873,0.403922292
hsa-miR-125b-1-3p,885.5470581,-0.623791257,0.167735227,-3.718904302,0.000200089,0.002464624
hsa-miR-125b-2-3p,3665.931684,-0.321210491,0.130777308,-2.4561638,0.014042913,0.069958751
hsa-miR-125b-5p,22130.96033,-0.423387153,0.147530431,-2.869829292,0.004106935,0.026874753
hsa-miR-126-3p,4576.566423,-0.060796571,0.174619033,-0.34816692,0.72771483,0.871759069
hsa-miR-126-5p,14901.1334,0.242314344,0.234351404,1.033978631,0.301146153,0.560035564
hsa-miR-1260a,59.45373399,0.168656392,0.235135744,0.717272456,0.473205999,0.714848663
hsa-miR-1260b,24.24837381,0.137819139,0.25420722,0.542152735,0.587713293,0.799647905
hsa-miR-1261,12.11190864,0.529231803,0.438012298,1.208257865,0.22694809,0.467745375
hsa-miR-1262,5.234284984,-0.990173836,0.528593587,-1.873223323,0.061037553,0.20417354
hsa-miR-1263,0.107605124,-0.104730149,0.520432705,-0.201236679,0.840513513,NA
hsa-miR-1264,5.714494498,0.056429791,0.63068192,0.089474249,0.928705018,0.972354153
hsa-miR-1265,0.150388041,0.165779156,0.566460763,0.292657792,0.769783735,NA
hsa-miR-1266-3p,0.468371028,-0.098565463,0.736289548,-0.133867801,0.893507112,NA
hsa-miR-1266-5p,7.805608102,-1.566102026,0.466432269,-3.35761938,0.000786168,0.007157546
hsa-miR-1267,0.939447123,-0.045337678,0.732214251,-0.061918595,0.950627659,NA
hsa-miR-1268a,210.9124653,-1.435503427,0.366798413,-3.91360316,9.09E-05,0.001282186
hsa-miR-1268b,2.422464814,0.686165402,0.597228867,1.148915332,0.250590895,0.501287427
hsa-miR-1269a,1.866810242,-0.304742358,0.645884058,-0.471822077,0.637053791,0.827546372
hsa-miR-1269b,1.002446352,-0.945785726,0.719699643,-1.314139496,0.188799265,NA
hsa-miR-127-3p,19667.60777,0.18138158,0.3058949,0.592953919,0.553211992,0.780610452
hsa-miR-127-5p,137.5931394,0.079851511,0.349286072,0.2286135,0.819169331,0.92878243
hsa-miR-1270,15.13694962,-1.541168529,0.392082231,-3.93072781,8.47E-05,0.001231521
hsa-miR-1271-3p,2.453521339,0.605933433,0.53819408,1.125864174,0.260223016,0.511169789
hsa-miR-1271-5p,54.06253967,0.846754145,0.330610281,2.56118516,0.010431574,0.056241032
hsa-miR-1272,0.198618451,-0.255846254,0.593449128,-0.431117415,0.666382999,NA
hsa-miR-1273a,90.64422643,1.836324844,0.376834457,4.873027959,1.10E-06,4.79E-05
hsa-miR-1273c,1.42163399,0.782797643,0.690172967,1.134205019,0.256708559,NA
hsa-miR-1273d,20.08024358,1.212195267,0.414632866,2.923538792,0.003460771,0.023528748
hsa-miR-1273e,49.09709765,1.47890536,0.333494467,4.434572408,9.23E-06,0.000209981
hsa-miR-1273f,59.60184292,-0.037392286,0.314450474,-0.118913117,0.90534419,0.972354153
hsa-miR-1273g-3p,58.65501381,0.516269845,0.367521418,1.404734036,0.160100381,0.380966133
