"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"272.1391@8.517381",0.00785558201652703,0.4528,0.0276,0.0354,0.0051,0.0056,0.7346,0.01681546310247
"272.2344@22.288752",0.249891892935687,0.8305,0.0987,0.2063,0.1209,0.2534,0.5637,0.31005105234613
"272.2347@22.459646",0.188531282533799,0.7362,0.5045,0.1006,0.6657,0.0733,0.1963,0.245809474108328
"273.0143@0.6394064",0.0556926605554733,0.0121,0.0187,0.0152,0.5569,0.716,0.7774,0.0883262691854282
"273.0966@0.9621002",0.000853804642855116,2e-04,9e-04,0.0023,0.6925,0.2367,0.468,0.00319530367437852
"276.0612@0.66687095",0.000384436745208383,0.4565,0.0029,0.002,0.0044,0.001,0.6833,0.00173412505036852
"276.1752@22.029701",0.166138293278845,0.4799,0.2306,0.24,0.0666,0.0607,0.8849,0.22085844543021
"277.069@3.2104",0.292261617818605,0.5547,0.2517,0.6587,0.0683,0.2378,0.358,0.350923447918397
"277.1677@21.487572",0.000520948081542905,0.0602,6e-04,7e-04,0.0155,0.0086,0.9965,0.00221609660084918
"278.1874@19.826532",0.0495109367745283,0.0884,0.0069,0.0663,0.2011,0.9477,0.1978,0.0805153583469271
"278.2242@22.549852",0.000613539738944624,0.0627,3e-04,5e-04,0.0162,0.0231,0.676,0.00246150673708322
"280.0461@1.3732249",0.0141647666296156,0.0409,0.4652,0.1303,0.0034,0.3978,0.0142,0.0274685778345658
"280.0592@0.68382156",0.119156775227657,0.1188,0.5704,0.5942,0.0685,0.0367,0.929,0.167720671013719
"280.1708@21.88424",0.627308173189649,0.4251,0.3431,0.605,0.7382,0.4922,0.3165,0.663975475571982
"281.9156@0.59793353",6.70068018864267e-05,3e-04,3e-04,0,0.8722,0.1272,0.1941,0.000472574286988483
"282.1077@3.9263296",0.0196459493211424,0.8419,0.0156,0.0253,0.0197,0.0323,0.6462,0.0364620112054443
"282.2555@21.581942",0.62807107594606,0.2172,0.323,0.2665,0.7437,0.8226,0.8903,0.66425828079536
"282.2559@22.332396",1.65410080310568e-06,0.0193,0,0,0.0113,3e-04,0.252,2.46277230684624e-05
"282.2562@23.023542",1.45851851908185e-05,0,0,1e-04,0.4356,0.1483,0.5583,0.000145851851908185
"282.2569@22.948492",0.000814802753766108,0.0076,0.0014,1e-04,0.4263,0.1405,0.5508,0.00308428161030109
"283.0917@1.8544531",0.323286704785591,0.1008,0.2479,0.0977,0.5499,0.9456,0.5692,0.380671515301135
"284.0757@2.321519",0.0673055653685669,0.0377,0.2526,0.2461,0.0636,0.0397,0.9902,0.103428277057201
"284.118@18.002193",0.0125717290811284,0.011,0.404,0.0613,0.0072,0.1321,0.102,0.0248134594012819
"284.1411@8.517738",0.00146078878928735,0.4913,0.0064,0.0123,0.0012,0.0021,0.5775,0.00476266904536508
"284.1412@6.638118",0.00294219218068237,0.5395,0.0106,0.0159,0.0025,0.0033,0.6637,0.00787806780977736
"284.2555@22.713392",0.140874806818215,0.0242,0.2772,0.2481,0.2189,0.1671,0.976,0.192624735853478
"286.0802@1.4506158",0.00274259639889118,6e-04,0.0034,0.0018,0.4129,0.493,0.8498,0.00757748283404987
"286.2659@22.883339",0.00524491295289264,0.001,0.0038,0.0056,0.4884,0.3497,0.8264,0.0122229275771759
"287.0978@3.2290728",0.0635400457890349,0.0768,0.4017,0.8535,0.014,0.0436,0.4846,0.098774549138407
"289.8847@1.1924169",0.0435959628950564,0.0245,0.2781,0.064,0.0268,0.3024,0.138,0.0726599381584273
"290.075@1.3729732",0.0041529068330115,0.0376,0.7521,0.0661,0.001,0.438,0.0029,0.010210816800432
"290.224@22.588364",0.0406432322258395,0.7235,0.1184,0.0793,0.0622,0.0166,0.6786,0.0687650646245265
"290.9515@2.5061338",0.000510494991137866,0.2423,0.0071,0.0086,5e-04,3e-04,0.8265,0.00218515773638119
"292.1669@18.781311",0.389787412843345,0.8644,0.2866,0.3753,0.154,0.1982,0.7671,0.443391454337931
"292.2392@22.771324",0.514351857462447,0.1936,0.1903,0.155,0.9783,0.7468,0.7802,0.558082177327675
"294.1821@17.66452",0.208443228452884,0.0914,0.5036,0.457,0.1215,0.1054,0.9344,0.267542074834161
"294.1829@17.392864",0.87922732797986,0.9699,0.5761,0.8602,0.4676,0.8378,0.5618,0.891198653171719
"294.2542@22.910233",0.281626218912749,0.1344,0.0847,0.1004,0.7562,0.9274,0.8095,0.339675187527528
"295.0071@0.7655502",0.00766170892147566,0.0508,0.0051,0.004,0.1075,0.0528,0.8007,0.0165059324031791
"296.0904@0.67710716",0.00644164817179849,0.0025,0.0023,0.0029,0.9369,0.835,0.7772,0.0145072412608571
"296.2714@23.105816",0.00148840138153139,0.0161,7e-04,5e-04,0.176,0.1928,0.8501,0.00479436983474054
"298.16@21.301609",0.101027192380766,0.0346,0.9981,0.2136,0.0439,0.2584,0.2434,0.14572275327258
"298.2504@22.447304",0.0469967684102922,0.9774,0.1925,0.0225,0.1685,0.0163,0.3413,0.0772707603310326
"298.2505@22.580528",9.80698757402365e-05,0.0041,1e-04,0,0.0902,0.0975,0.8318,0.000628342785259784
"298.2863@23.399574",0.0777030911540271,0.4083,0.1004,0.019,0.3432,0.076,0.4589,0.115906962472706
"298.8861@5.349512",0.0408930195794546,0.8137,0.0309,0.0838,0.0186,0.0506,0.4947,0.0690432056840397
"2-AMINOETHYL DIHYDROGEN PHOSPHATE (M-H)-",0.377150933196859,0.4003,0.7635,0.6378,0.5126,0.0923,0.3382,0.43158176813304
"300.2657@22.715437",0.177802939233699,0.1139,0.051,0.047,0.5805,0.574,0.9711,0.234043161663219
"300.266@22.108873",0.00455815570889062,0.968,0.0112,0.0079,0.0101,0.0062,0.9478,0.0109265271018129
"300.266@22.838785",0.000241944635311797,0.0557,4e-04,1e-04,0.0365,0.0099,0.7321,0.00124694542814542
"300.8867@5.351166",0.0289733935567169,0.9853,0.0131,0.0874,0.0125,0.0842,0.2732,0.0508838104403678
"300.9803@2.4869294",0.000278879250867892,0.3068,0.0066,0.0077,3e-04,2e-04,0.8609,0.0013840673931962
"301.0551@0.7082069",0.000187079554131997,0.0585,8e-04,0.008,1e-04,0.024,0.0083,0.00102321062259949
"301.1313@18.869528",0.343528806025994,0.1121,0.4833,0.1472,0.3746,0.8015,0.4828,0.399244232502023
"302.1516@8.517605",0.00431597544486972,0.6674,0.0096,0.0181,0.0035,0.0062,0.5909,0.0104582406801545
"302.2246@22.530222",0.00645273596284268,0.0759,0.0047,0.002,0.136,0.0557,0.7725,0.0145078291782033
"304.0577@1.8409036",0.914917332643866,0.7377,0.5276,0.7248,0.6471,0.99,0.6345,0.920412331638725
"304.0902@1.4497954",6.99384119848823e-05,2e-04,2e-04,0,0.9565,0.6655,0.7085,0.000490667392982944
"304.2393@22.14715",0.272893419700151,0.8222,0.5977,0.0803,0.7544,0.1263,0.2497,0.332131864121891
"304.2401@22.029053",0.000154501370542071,0.1573,0.0099,0,0.1667,0.001,0.0465,0.000908034370729713
"304.2922@24.591682",0.00184664575975602,0.9392,0.0979,7e-04,0.1083,8e-04,0.0533,0.00564955552071475
"305.0735@0.70050013",0.0680616034839655,0.0747,0.1999,0.4772,0.2672,0.0176,0.2164,0.104470273388905
"306.2555@22.239119",6.83573296467177e-06,0.0171,1e-04,0,0.0142,7e-04,0.3555,8.17846622558944e-05
"306.2559@22.971363",0.905936527292344,0.5661,0.6525,0.9042,0.8958,0.5667,0.6825,0.913434873266924
"306.2567@22.867723",0.00258818638922786,0.0065,0.0019,5e-04,0.5398,0.3158,0.7507,0.00728607092765827
"307.0663@1.3775127",0.0440419623472124,0.0292,0.5902,0.161,0.0137,0.35,0.0734,0.073312086391633
"307.0817@0.7090001",0.283598187257551,0.1026,0.0914,0.1739,0.8635,0.4867,0.39,0.341746017018991
"307.0837@1.0084865",0.123436950148799,0.0426,0.028,0.0549,0.6023,0.7416,0.3808,0.172657111899155
"308.2716@23.05913",7.46587589528502e-08,0,0,0,0.285,0.1605,0.8202,3.33462904108675e-06
"310.0731@0.6808572",0.217874286927221,0.7,0.9533,0.4767,0.4372,0.0432,0.2336,0.278314151079576
"310.2867@22.693708",2.37912279321684e-07,0.0011,0,0,2e-04,0.0022,0.3046,6.50617253655217e-06
"311.0092@2.5142322",0.0100697139497641,0.9908,0.0328,0.0302,0.0114,0.007,0.9367,0.0207272145816956
"312.1759@22.98194",0.000157003379774201,0.0069,0.0025,0,0.385,0.0117,0.1424,0.000914715343032301
"312.3023@23.611092",0.028344574360754,0.4954,0.1168,0.0053,0.3464,0.0288,0.2393,0.0499759600571189
"314.1951@22.870586",0.107578802545041,0.0321,0.4821,0.0811,0.0923,0.4986,0.2391,0.154177107390754
"316.1441@19.052114",0.0511238850914568,0.0543,0.8903,0.3781,0.0128,0.0715,0.2846,0.0824380337214827
"316.2613@21.175026",0.0148042213061869,0.2321,0.0069,0.0056,0.0897,0.0957,0.8369,0.0285023801009919
"317.9553@0.5877045",4.94758999880496e-07,0,0,0,0.9313,0.4606,0.5387,1.03590165599979e-05
"318.2318@22.948368",0.000337721978180383,0.02,0.0436,1e-04,0.8173,0.0094,0.0102,0.0015966739616039
"318.9723@18.393072",0.0655573786096162,0.9188,0.0172,0.3387,0.0214,0.3947,0.0902,0.101089628696071
"318.999@0.99555045",0.000369819551939821,0.0479,0.0021,1e-04,0.0891,0.0022,0.132,0.00169711712191562
"320.2345@21.753134",0.39618450198811,0.6491,0.3372,0.359,0.1662,0.1647,0.8929,0.449523482357381
"320.235@21.64775",0.0239356544610948,0.6441,0.0285,0.1025,0.0086,0.0314,0.4062,0.042936783102901
"320.2714@23.026878",0.000172309324975584,8e-04,2e-04,1e-04,0.4207,0.1089,0.4767,0.00097423837749908
"321.0702@1.3978522",1.23738419177677e-07,0.0037,0,0,0,0,0.6601,4.14523704245218e-06
"322.2124@22.610945",0.000236666215699177,0.0126,5e-04,1e-04,0.1506,0.0277,0.5026,0.00122919662417402
"324.2274@22.869867",0.586337031772205,0.3793,0.7636,0.8094,0.1887,0.4152,0.5253,0.62704838194314
"324.3023@23.471514",0.000311446428599815,0.0736,0.003,0,0.1231,0.0048,0.2475,0.00149583589363352
"325.9202@2.4987857",0.000654831609131712,0.0503,0.0025,0.0036,0.0013,0.0014,0.6588,0.00261153082213242
"326.0396@1.8385593",0.961872742763984,0.6163,0.6324,0.6676,0.9656,0.8619,0.9046,0.964031021169588
"326.1022@0.6757501",0.361896260826896,0.2583,0.2854,0.8209,0.9294,0.175,0.2257,0.416974195621703
"326.2769@22.79512",0.0600466667590254,0.0186,0.0356,0.015,0.6623,0.9194,0.5871,0.0939982867489416
"326.3172@23.844206",0.0608799408105888,0.0098,0.3274,0.1057,0.0876,0.1883,0.5614,0.0950805602403135
"328.2401@22.042297",0.027597890555026,0.1824,0.0259,0.0048,0.3031,0.1143,0.6532,0.0489816865479932
"328.2401@24.626392",0.0067747980278523,0.0069,0.0011,0.025,0.3008,0.4941,0.0995,0.0149558967995422
"328.299@24.617607",0.046989857962609,0.9662,0.3786,0.0163,0.3889,0.015,0.1213,0.0772707603310326
"328.2992@24.546024",0.003597792656863,0.1637,0.0332,4e-04,0.3469,0.0108,0.1158,0.00917494718932326
