"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"590.4908@26.185553",1.42429176934744e-05,1e-04,0,0,0.041,0.0206,0.9292,0.000439599077735307
"297.0899@4.511016",0.00067088321411457,0.0054,3e-04,0.0019,0.0128,0.2897,0.0731,0.00613672927757561
"173.051@4.0332174",0.615386138296293,0.7608,0.4175,0.9328,0.4342,0.6975,0.2142,0.706581435114484
"284.0757@2.312074",0.769180325298597,0.3224,0.5051,0.4061,0.6213,0.7537,0.8197,0.830447404069665
"189.0425@4.9497366",0.00414990434343521,0.0012,0.002,0.0031,0.4915,0.1918,0.5917,0.0235266440154445
"612.15@1.3798642",0.765540879038379,0.654,0.8459,0.8036,0.3136,0.7265,0.4713,0.827818868317475
"507.3335@22.694233",7.10538751809153e-05,0.1881,1e-04,3e-04,7e-04,9e-04,0.6221,0.00117712586549716
"525.2866@22.141212",0.02116100683629,0.4202,0.0362,0.0078,0.1312,0.0252,0.5245,0.0790753413356099
"666.07@1.3796545",0.92400778893803,0.6512,0.8222,0.6045,0.7055,0.9189,0.6178,0.946869837324126
"391.1418@3.7040126",0.294458105205097,0.1451,0.702,0.3756,0.1075,0.2953,0.4488,0.455195208246534
