"","ANOVA.F","Type Healthy control - NLA","Type Healthy control - Other","Type Healthy control - PLS","Type NLA - Other","Type NLA - PLS","Type Other - PLS","FDR"
"344.2032@22.870424",0.622903699900754,0.9093,0.4695,0.5681,0.5383,0.4901,0.196,0.712231147662595
"799.608@25.793983",0.160668156622052,0.2783,0.9052,0.2177,0.297,0.0267,0.3463,0.324124898954508
"600.51@27.337082",1.79682782432966e-05,0.9563,4e-04,0.0062,0,4e-04,0.0778,0.000505484959636891
"843.6558@25.770039",0.00304778647368997,0.0074,0.7893,0.1896,8e-04,0.0325,0.0656,0.0187006157706656
"612.3347@11.179104",0.0886749317319181,0.4425,0.151,0.1265,0.0835,0.0325,0.804,0.219625121615099
"407.1067@8.510707",0.500928110079058,0.3468,0.2096,0.1728,0.7536,0.7438,0.9864,0.611197882265037
"414.1173@8.511252",0.336404713142129,0.2201,0.0876,0.177,0.5743,0.9564,0.5886,0.48090069731056
"478.3297@18.567692",0.00208509361497911,0.8858,0.003,0.0119,0.0017,0.0071,0.3951,0.0138789043747047
"428.0978@16.474367",0.111385810644866,0.5021,0.0273,0.2641,0.0564,0.5606,0.1624,0.256290499493049
"365.3769@17.570326",0.372750796990849,0.2998,0.0861,0.2882,0.4488,0.97,0.4041,0.509414700562196
"523.2682@22.021067",0.000729468899452912,0.1163,0.0112,1e-04,0.2509,0.0065,0.1225,0.00639787134755466
"598.0831@1.3720008",0.0110143850920708,0.002,0.0084,0.007,0.396,0.3602,0.9966,0.0500684395496265
"731.5493@24.56761",0.114840022068535,0.8357,0.0838,0.1306,0.0556,0.0838,0.6927,0.26022260319785
"848.6092@26.27426",0.670835962528352,0.4565,0.9823,0.6069,0.4591,0.2236,0.6381,0.749990138577369
"564.2979@19.831596",0.33558099036804,0.1928,0.0984,0.1529,0.6702,0.9569,0.6906,0.480880832444499
"274.2253@14.195689",0.859511282812166,0.8332,0.5858,0.9397,0.4305,0.881,0.5021,0.89932022643715
"605.4442@23.698494",0.222214272509328,0.5971,0.2094,0.4852,0.0578,0.1721,0.5365,0.394430333704058
"731.5685@22.49934",0.725678117226372,0.7091,0.3326,0.7219,0.428,0.9702,0.3896,0.796163408965799
"478.3294@18.881418",0.228163289148037,0.2399,0.0516,0.1184,0.3831,0.7364,0.5462,0.398350660561737
"326.2207@22.945894",0.938390452937495,0.9774,0.9121,0.6613,0.886,0.6677,0.575,0.957659250739086
"509.4449@22.436935",0.205910399472854,0.0904,0.8343,0.9152,0.0685,0.0905,0.7471,0.376918575219245
"521.3497@22.52428",0.153579069040217,0.9725,0.0715,0.3206,0.0452,0.2576,0.2622,0.314273592559509
"368.1245@6.6302795",0.202534640745714,0.5918,0.1306,0.6903,0.0403,0.317,0.2021,0.373736570980023
"398.2449@21.450197",0.297407372424811,0.7046,0.3529,0.0788,0.5683,0.1663,0.4584,0.457025651346735
"649.4331@22.718903",0.323585642379369,0.3103,0.8082,0.5151,0.1976,0.077,0.6831,0.475820181507467
"252.1109@2.160474",1.13956025393769e-05,6e-04,0,0,0.0065,0.0236,0.3443,0.000375905709237777
"631.6274@28.026676",0.42256775628488,0.6771,0.1994,0.1834,0.335,0.3106,0.9593,0.546917122066629
"737.5376@24.91036",0.180096805025808,0.3182,0.0306,0.2204,0.2008,0.8612,0.2345,0.349641062882135
"475.2994@9.428731",0.0960299402180655,0.363,0.1523,0.1445,0.0727,0.039,0.9313,0.231309597520413
"518.3228@17.465984",0.472762044551627,0.6015,0.336,0.9432,0.1298,0.6087,0.2562,0.585611942723352
"255.0858@0.7252726",0.0891800148213919,0.1878,0.0314,0.0308,0.1851,0.171,0.92,0.220144705461416
"1092.3455@8.506924",0.000727864489219576,0.2217,0.0159,0.0427,3e-04,7e-04,0.5086,0.00639787134755466
"477.1901@4.622637",0.0135627741558096,0.0093,0.0033,0.0043,0.2955,0.3969,0.7513,0.0581094720296327
"470.119@16.476786",0.29107542891156,0.3714,0.0595,0.4239,0.2819,0.88,0.2032,0.452913402666553
"175.0672@3.762353",0.371481481263668,0.3068,0.6261,0.9699,0.0946,0.2392,0.5451,0.508145769324889
"159.1256@0.7173684",0.453433550961306,0.2172,0.1658,0.25,0.5264,0.6776,0.3249,0.57197074829383
"496.3399@18.146263",0.233627662091568,0.2594,0.0559,0.111,0.3786,0.6721,0.5962,0.402029962458529
"1569.018@24.441565",0.710789759103503,0.7756,0.7593,0.4075,0.5627,0.5841,0.274,0.784446728958788
"863.6838@27.257086",0.754592790372782,0.4017,0.5466,0.9785,0.83,0.3787,0.5353,0.818252982142414
"638.4012@22.247126",0.12881487768732,0.085,0.0313,0.0662,0.582,0.9855,0.573,0.278352148741731
"840.7101@28.819656",0.00496003343772655,0.4495,0.0016,0.0102,0.0097,0.0577,0.3349,0.0268888171339134
"363.1159@7.410734",0.314017511145248,0.9815,0.1303,0.8925,0.1095,0.8656,0.1245,0.468630098308808
"228.1471@3.440331",0.00433857219369649,0.0588,9e-04,0.0049,0.0315,0.1699,0.289,0.0243188388751935
"316.1673@8.920245",0.35490511047978,0.6951,0.2054,0.8405,0.0885,0.5116,0.226,0.495471460416996
"807.5797@24.77014",0.495364416838351,0.7958,0.9598,0.2036,0.8373,0.2946,0.2262,0.605870675536313
"426.4187@21.780596",4.59593886181775e-06,0.0159,0,1e-04,6e-04,0.0013,0.6151,0.000251398783800427
"859.6889@27.176317",0.0108364885772573,0.0239,0.5412,0.9123,0.0029,0.0055,0.549,0.0495619768978239
"669.6284@29.44215",0.000333970250472548,0.0115,2e-04,7e-04,0.0614,0.1114,0.6172,0.00355678316753264
"662.4523@25.390606",0.000536129854429412,0.0014,1e-04,8e-04,0.2744,0.9914,0.2533,0.00515722330938228
"705.5335@24.451174",0.0406365194072034,0.3585,0.0365,0.0121,0.1881,0.0767,0.7335,0.12702107009673
"331.3235@20.089067",0.0969043703252996,0.1546,0.2763,0.6676,0.0183,0.0574,0.4548,0.232290058127045
"835.6083@25.713652",0.0363074406809913,0.0244,0.0166,0.227,0.742,0.0944,0.0701,0.117123568959423
"71.074@0.73441863",0.071944881700314,0.7534,0.2832,0.5585,0.0119,0.064,0.2843,0.191895918810676
"188.1159@1.986126",0.0528201776013354,0.1648,0.0251,0.0878,0.0419,0.4633,0.132,0.153162995567969
"505.2487@21.4199",0.51992394784588,0.3572,0.1547,0.2542,0.4937,0.7867,0.648,0.627129568593979
"751.5502@25.971865",0.0519069845836007,0.0116,0.0197,0.0453,0.7345,0.3244,0.5477,0.150864159871635
"364.2658@19.485386",0.103017874660709,0.9848,0.1294,0.0587,0.1161,0.0479,0.703,0.24227074309009
"212.1389@14.606619",0.239274861422834,0.4664,0.0761,0.1611,0.1646,0.3672,0.5213,0.406794547755355
"811.6774@26.36992",0.291343004452405,0.18,0.8064,0.8868,0.1335,0.0989,0.8918,0.452913402666553
"880.7493@26.30173",0.0141725364677191,0.1996,0.2384,0.051,0.0288,0.0024,0.6192,0.0602316438847619
"228.9673@1.1838336",0.221709282465758,0.0601,0.1397,0.2199,0.482,0.1976,0.6157,0.394003027600053
"414.2064@19.283907",0.261037523062752,0.8684,0.0789,0.6144,0.0952,0.7273,0.1593,0.424913968237831
"480.2551@9.428974",0.105211474731589,0.3584,0.1453,0.1425,0.0757,0.0476,0.9898,0.246037062470462
"589.4188@22.231386",0.00218252048453105,0.0156,5e-04,0.0013,0.1463,0.3908,0.4616,0.014210209792296
"261.1577@2.0071957",0.205419888937599,0.1754,0.057,0.0728,0.3518,0.4548,0.7761,0.376729464213973
"563.3523@10.652816",0.0669172664197547,0.4435,0.1604,0.1357,0.0612,0.0208,0.7788,0.182068693853749
"805.5639@24.559639",0.11386642145014,0.0401,0.8696,0.3806,0.0404,0.123,0.4469,0.259187446912322
"814.5081@22.286377",0.291520725594695,0.1331,0.0804,0.2,0.7435,0.7441,0.5122,0.452913402666553
"649.6382@28.86577",0.788592985327963,0.7248,0.3309,0.5833,0.4919,0.8427,0.5895,0.845893626707908
"562.2826@19.618067",0.26068167407888,0.2192,0.0656,0.1197,0.4813,0.7859,0.627,0.424913968237831
"593.3456@22.600874",0.273495782718624,0.2028,0.0813,0.2004,0.2836,0.9865,0.2903,0.437065607752914
"563.5285@24.50678",0.0291114964668244,0.2631,0.0263,0.0121,0.1351,0.0498,0.7366,0.0997821637518051
"331.3238@20.457743",0.145651935811046,0.0479,0.563,0.3147,0.0735,0.1348,0.6106,0.304155513017185
"241.2772@11.152586",0.515889683995831,0.656,0.384,0.869,0.1592,0.7304,0.2391,0.625358958404702
"387.2472@7.902721",0.095846895202844,0.3358,0.1459,0.1478,0.0627,0.0439,0.9575,0.231242266581619
"404.1433@8.512036",0.389404327254771,0.2086,0.1301,0.1617,0.7479,0.9425,0.7867,0.522123967569122
"363.2454@23.206831",0.00336259592624044,0.303,0.0531,8e-04,0.2985,0.0064,0.0915,0.0200830693549321
"729.5327@24.18391",0.356078362480673,0.1199,0.9393,0.5394,0.1383,0.2886,0.5939,0.496180222858583
"495.368@21.507742",0.00138659352272885,0.3438,0.0012,0.003,0.0048,0.0087,0.5702,0.0103889997104961
"445.2465@18.440836",0.353330155077966,0.4628,0.0787,0.4586,0.2748,0.9698,0.2357,0.494662217109152
"296.2461@21.585936",0.325224038173941,0.8682,0.2936,0.4317,0.3706,0.3379,0.0695,0.475867557328112
"301.2981@21.072367",0.0204447304092157,0.0301,0.0086,0.0051,0.5228,0.4679,0.9848,0.0781617770260015
"379.3301@21.583769",0.0251730013443725,0.274,0.461,0.0678,0.0728,0.004,0.2812,0.0897917344604292
"606.2313@8.508471",0.3411438278882,0.1938,0.1022,0.1519,0.6828,0.9513,0.7091,0.484886031822027
"183.0671@22.261494",0.615593081296925,0.4155,0.6441,0.234,0.6956,0.6189,0.3984,0.706581435114484
"580.2758@19.829634",0.208819202675915,0.1318,0.0646,0.0766,0.6663,0.8474,0.7858,0.379059355262088
"795.5207@24.62759",0.163778096734226,0.3478,0.4774,0.5607,0.0541,0.0537,0.8328,0.326898450108075
"753.5298@24.569736",0.153233595404255,0.6737,0.2475,0.0369,0.4458,0.092,0.3992,0.314265874481079
"427.3669@21.90614",0.969287724196105,0.6982,0.6337,0.7312,0.9028,0.9342,0.8351,0.977152127637858
"313.1358@21.448858",0.0671665302536486,0.4379,0.4656,0.0595,0.1466,0.266,0.0132,0.182082357469436
"206.1515@11.281455",0.0996091559176951,0.1377,0.0411,0.8912,0.4567,0.1491,0.0426,0.235823027314894
"445.392@23.442408",0.434918320956512,0.1565,0.1267,0.2639,0.8472,0.6485,0.527,0.557098981972562
"621.4745@24.4343",0.0914946300940976,0.0695,0.3949,0.2039,0.0357,0.1191,0.355,0.223270856743535
"335.3034@21.498714",0.851491199797862,0.5931,0.4353,0.4696,0.7883,0.8713,0.8977,0.892180870624464
"432.1102@8.920625",0.345093565903903,0.295,0.0961,0.1511,0.4894,0.7321,0.6856,0.487248585949545
"248.1748@18.814306",0.217106205385411,0.4488,0.0847,0.313,0.1095,0.683,0.1791,0.388601863420946
"236.1188@4.033711",0.5495551058191,0.916,0.6721,0.717,0.3812,0.6441,0.1587,0.651340749424705
"477.2864@22.111586",0.00748888023195426,0.5821,0.076,0.0668,0.0059,0.0032,0.9794,0.0369732464431914
"341.2317@8.783243",0.0018429399597456,0.0185,0.0012,9e-04,0.0883,0.0464,0.9014,0.012547139177994
"531.1098@4.6200824",0.019286621668522,0.0077,0.0044,0.0064,0.6157,0.8894,0.6718,0.0748863356973082
"202.1315@2.9340441",0.00260502333511703,0.0162,0.0012,0.0046,0.0117,0.1553,0.1332,0.0164687448293293
"823.6917@26.503883",0.0163652826883329,0.11,0.1254,0.6121,0.0022,0.0218,0.2243,0.0666684057057497
"64.0393@5.3438106",0.109192411357631,0.3605,0.7956,0.2795,0.1814,0.0194,0.3446,0.252804169773645
"518.3223@18.881496",0.199180834936543,0.2333,0.0465,0.0939,0.3657,0.6595,0.5899,0.369848573684579
"848.6728@29.698767",0.259350611441492,0.1294,0.7576,0.7033,0.0759,0.2103,0.4905,0.424004124626387
"517.3154@22.411055",5.98691276810781e-05,0.0036,1e-04,0,0.0501,0.0141,0.7266,0.00109942677675862
"536.1619@1.844835",0.662592750138846,0.603,0.2999,0.5274,0.3627,0.8484,0.4281,0.744030537179995
"565.3146@22.075024",0.777681714733638,0.3713,0.7227,0.8307,0.5487,0.3913,0.8519,0.838140108913187
"697.4927@23.734743",0.117562210859968,0.7971,0.8317,0.0655,0.6336,0.031,0.1018,0.263586851717613
"695.6426@22.774214",0.33606829470635,0.0971,0.1706,0.4276,0.8021,0.335,0.5014,0.480880832444499
"777.572@25.676155",0.0986412384605013,0.0395,0.5983,0.9696,0.117,0.0256,0.5481,0.235318538471372
"238.1416@4.7737722",0.20891354919111,0.6006,0.2906,0.2825,0.1153,0.0746,0.9707,0.379059355262088
"449.2835@19.626108",0.624210521149816,0.4318,0.8094,0.2418,0.5834,0.732,0.3564,0.712869754906647
"458.2731@9.426882",0.0489898633121501,0.4954,0.141,0.1573,0.0343,0.0176,0.8023,0.14498508153297
"404.2429@8.931888",0.118650802414966,0.6406,0.475,0.3301,0.0886,0.0246,0.6748,0.264436990135597
"846.2679@16.475176",0.471396682408165,0.8543,0.1942,0.8013,0.2175,0.9489,0.2087,0.585611942723352
"229.2405@17.824923",0.543227196052573,0.1957,0.3886,0.6988,0.6638,0.2911,0.5742,0.647899309791366
"456.3426@22.787064",0.00490821903836736,0.0263,0.004,9e-04,0.4383,0.239,0.718,0.0267085933803129
"713.5367@24.90725",3.326264207415e-05,0.3116,0,4e-04,1e-04,0.0016,0.1433,0.000729332343125847
"779.5452@24.734472",0.755820021771055,0.7061,0.7595,0.6603,0.944,0.3412,0.4031,0.818988119520816
"317.1119@1.0115484",0.0362917724306758,0.227,0.5182,0.8004,0.008,0.02,0.5102,0.117123568959423
"547.3701@23.202503",0.0321995056588565,0.2332,0.0407,0.0101,0.2487,0.0542,0.4901,0.107130253947592
"320.1991@19.82822",0.238105050438183,0.1663,0.0631,0.1045,0.5703,0.8644,0.6622,0.406195229065596
"711.6021@22.59237",0.75090302931231,0.6414,0.2968,0.4881,0.5085,0.8129,0.634,0.815438031103172
"444.324@19.828018",0.225790403561526,0.1934,0.056,0.1017,0.4783,0.7804,0.6281,0.396761353292179
"296.2718@23.459373",0.806038917087277,0.3323,0.6683,0.6266,0.6102,0.5832,0.9894,0.859659531743297
"161.1047@0.8072815",0.104026966093538,0.0609,0.0415,0.0224,0.7385,0.3877,0.6352,0.244258592827504
"212.9719@1.296412",0.0349782112208039,0.0651,0.0045,0.1316,0.216,0.6304,0.083,0.113622032527709
"185.214@17.609222",0.731237492941636,0.8869,0.6304,0.5429,0.7219,0.4429,0.2924,0.801672869099985
"605.3251@19.48629",0.313304118446999,0.2113,0.0819,0.1552,0.5668,0.9172,0.6129,0.468630098308808
"347.2805@22.598927",0.0125425013256295,0.022,0.008,0.0042,0.5265,0.3414,0.7956,0.0551648067153793
"549.2733@20.639605",0.494345946146244,0.7738,0.1601,0.4393,0.2362,0.6103,0.4784,0.605147623730747
"424.1231@17.48869",0.223503072234303,0.2867,0.0468,0.1445,0.3044,0.705,0.4821,0.395306145553198
"398.2499@23.287205",0.00290705089739007,0.0332,0.0026,0.0018,0.1026,0.0422,0.7752,0.0180600537000358
"523.3649@22.728386",0.473892405158435,0.531,0.3488,0.129,0.7333,0.3789,0.6264,0.58625364323904
"109.028@1.842669",0.894284769313358,0.7633,0.5613,0.5225,0.7016,0.6369,0.9563,0.92467308671721
"793.6805@26.983181",0.260390086178158,0.0574,0.1732,0.1623,0.5788,0.4831,0.9323,0.424913968237831
"408.2514@17.823442",0.232021439012654,0.2531,0.0532,0.1183,0.3737,0.7094,0.5567,0.402029962458529
"246.1209@3.0887744",6.55687519901527e-05,0.0107,0,1e-04,0.0164,0.0512,0.4485,0.00113451620875206
"494.3607@19.485678",0.258268340498035,0.2666,0.0598,0.135,0.3871,0.7371,0.5509,0.423162742508318
"601.5804@26.231165",3.24480515123682e-07,1e-04,0,0,0.0332,0.0134,0.8692,4.03167040041175e-05
"667.6131@22.697483",0.233836007484047,0.0857,0.1021,0.5044,0.9754,0.2461,0.279,0.402029962458529
"857.5943@24.807713",0.0210097016810701,0.0161,0.8327,0.1791,0.0076,0.0754,0.166,0.078707199011245
"449.3511@21.474236",0.888523920512355,0.6219,0.9749,0.8286,0.4855,0.6087,0.7728,0.92063180367194
"346.1423@8.508107",0.519539018394211,0.4223,0.1599,0.2639,0.5122,0.7837,0.6663,0.627129568593979
"287.1924@21.131802",0.0753333884529661,0.0858,0.0707,0.0164,0.8739,0.2195,0.3118,0.197750144689036
"684.4292@25.389462",0.000203828460766498,0.0075,1e-04,1e-04,0.0421,0.0617,0.6976,0.00249105110658072
"364.2958@22.95851",0.147520255627319,0.4722,0.0634,0.0523,0.2252,0.2101,0.9619,0.30591474428419
"329.0654@1.002286",0.0344051844781075,0.0157,0.0191,0.0079,0.9017,0.6796,0.6004,0.112495899247496
"505.2483@21.678307",0.624418443935668,0.4382,0.9725,0.3715,0.3628,0.9191,0.2913,0.712869754906647
"452.1529@18.440138",0.308383137733122,0.4121,0.0657,0.4724,0.272,0.8781,0.1942,0.465223949017277
"295.2356@12.3043165",0.360751959612397,0.1584,0.2693,0.9066,0.7916,0.167,0.2908,0.501349423299713
"707.5054@25.393812",0.000387157572994679,0.0105,2e-04,1e-04,0.0961,0.1314,0.741,0.00398104787127632
"648.5101@26.463379",0.907797077053993,0.7317,0.9211,0.512,0.811,0.7587,0.5861,0.934214080747616
"531.2643@21.954685",0.20897839706602,0.1544,0.6929,0.0824,0.2397,0.7382,0.1241,0.379059355262088
"214.1182@7.2015543",0.835826893946738,0.7906,0.5993,0.8549,0.4075,0.9217,0.4464,0.881342219854729
"235.2147@14.605128",0.239703476384001,0.453,0.073,0.1678,0.1637,0.3996,0.4825,0.407059092583765
"683.6203@28.120876",0.0176262230863905,0.7505,0.0435,0.0535,0.0117,0.0114,0.7871,0.0700818629914886
"730.2288@8.508983",0.42777473314215,0.2444,0.1339,0.1975,0.6899,0.953,0.7151,0.551263722657688
"587.5261@24.997599",0.39161925776556,0.2166,0.3918,0.1141,0.6412,0.6643,0.3686,0.524104293771475
"729.5684@25.964817",0.0399353672861642,0.009,0.2443,0.2127,0.0605,0.0407,0.9856,0.126151764033201
"343.3451@20.794008",0.219664400536604,0.6024,0.0817,0.9148,0.2032,0.5104,0.0545,0.392104252680186
"781.5612@22.73177",0.125865418354381,0.0719,0.7443,0.453,0.0296,0.2013,0.2591,0.273564633770237
"611.55@26.41801",0.00483329499593932,0.3186,0.0385,0.0628,0.0023,0.003,0.7265,0.026397226516284
"573.4245@22.219233",0.033405754022902,0.0324,0.0085,0.0162,0.5024,0.8614,0.5873,0.110684398329215
"809.5505@22.280674",0.000252736343024251,0.0352,1e-04,2e-04,0.0192,0.0525,0.4934,0.00289869144191661
"430.0944@8.514608",0.455226388257767,0.2143,0.1592,0.2149,0.8223,0.9377,0.7553,0.573746868040855
"193.1099@0.733238",0.129461099662567,0.1313,0.6364,0.7165,0.0444,0.0393,0.8767,0.278940028319201
"633.4462@22.246796",0.0016672686329029,0.0164,4e-04,9e-04,0.1286,0.3008,0.5224,0.0116956514038612
"728.5855@24.50012",0.315382298187418,0.8338,0.3565,0.21,0.2272,0.1064,0.771,0.469027774720873
"857.5916@25.485231",0.00293069229168819,0.0862,0.0026,0.0028,0.0393,0.0267,0.8989,0.0181313784518966
"731.5733@27.308706",2.8547497937792e-06,0.0068,0,1e-04,3e-04,0.0665,0.0256,0.000170257277700991
"183.0658@22.406776",0.00358916533118181,0.3923,0.0254,0.0023,0.1051,0.0073,0.3508,0.021151958532775
"543.3302@22.390762",0.00655685438442533,0.2617,0.0011,0.1017,0.0077,0.5733,0.018,0.0333661088299596
"394.2398@22.667765",0.137654366807605,0.964,0.3731,0.2815,0.1178,0.0323,0.738,0.291537870610994
"602.4397@22.950655",0.486856817569531,0.2437,0.2598,0.7382,0.994,0.2891,0.3139,0.598930292901131
"687.5806@25.81708",0.000567869676216803,0.0144,4e-04,4e-04,0.05,0.0367,0.9401,0.00539295342190607
"85.0898@1.4829618",0.930016862522081,0.7358,0.5151,0.7441,0.7333,0.9748,0.6967,0.951066626900153
"301.2725@15.144751",0.0445986612371743,0.0161,0.0322,0.0117,0.5364,0.7819,0.3604,0.136792037529159
"743.5852@25.560469",0.00153421630919692,0.9707,0.0047,0.0044,0.004,0.0031,0.8378,0.0111577325502247
"282.1681@5.946703",0.195070330875814,0.5369,0.2976,0.2835,0.1166,0.0648,0.91,0.365389275547537
"779.546@24.718956",0.000687951980406942,0.06,0.0076,1e-04,0.3192,0.0119,0.1318,0.00617913495654669
"164.0468@0.9572502",0.0266288810244497,0.3493,0.165,0.2149,0.0093,0.0107,0.7857,0.0934203802528342
"605.3244@19.831312",0.31001304041471,0.1711,0.0929,0.1365,0.6975,0.9653,0.7123,0.465957100058803
"392.2029@7.9024763",0.122357988039772,0.3477,0.1559,0.1597,0.0778,0.0596,0.9359,0.269875384862869
"283.324@20.990885",0.938384496686355,0.6274,0.7474,0.5518,0.8653,0.9215,0.7847,0.957659250739086
"228.1473@4.4728756",0.58339963183158,0.8798,0.3984,0.7537,0.1893,0.5048,0.4349,0.680100743597253
"829.5638@24.291082",0.201048981337357,0.5322,0.1391,0.0683,0.3041,0.1448,0.7442,0.371915671431761
"893.6283@25.93445",0.113252155783199,0.0281,0.2324,0.0953,0.1239,0.3162,0.496,0.258589531811254
"692.6754@27.311478",0.194089609147025,0.7451,0.2096,0.2378,0.0836,0.0835,0.8521,0.3640095688531
"336.299@22.577097",0.333531389455591,0.2084,0.083,0.3989,0.5769,0.6134,0.2879,0.48047855234617
"444.1758@1.8757517",0.00320693575470876,0.4479,0.0623,0.3525,6e-04,0.0131,0.0873,0.0194745552678518
"502.3279@19.485558",0.204697933804223,0.2164,0.0464,0.1017,0.389,0.7261,0.5626,0.375867757761202
"179.1284@15.2692175",0.0131414490458547,0.4793,0.0042,0.169,0.0071,0.4148,0.0267,0.056629770310316
"397.3199@22.110992",0.248577003426349,0.1323,0.0721,0.066,0.657,0.6606,0.9583,0.412726405466243
"759.5803@25.22925",0.0347495214090141,0.174,0.0437,0.0087,0.3905,0.0788,0.4047,0.113373165034661
"162.0534@10.16631",0.574320514434573,0.7331,0.2208,0.9823,0.3775,0.7347,0.2062,0.672672338587547
"577.5805@26.2659",0.000117579183348204,0.0011,1e-04,1e-04,0.1636,0.1426,0.9494,0.00170204429487546
"275.1737@3.5925944",0.0261886655313436,0.3484,0.0488,0.0193,0.1098,0.0209,0.5404,0.0925484622460176
"813.6271@26.301023",0.0016013385858451,0.3357,0.0039,8e-04,0.0324,0.0076,0.6911,0.011478826112957
"798.6615@26.527885",0.0143468963961282,0.1538,0.0183,0.0023,0.2748,0.0721,0.5208,0.0607705185415543
"480.3446@19.034922",0.141328304018842,0.6025,0.0933,0.5117,0.0279,0.2131,0.224,0.29720804131466
"580.2932@18.568096",0.224327399924432,0.7894,0.1042,0.7419,0.0544,0.524,0.1423,0.395825033476129
"518.3221@17.823137",0.247642038525768,0.2493,0.0748,0.1211,0.4592,0.6591,0.715,0.412099041949144
"260.1363@4.561117",0.787751046497531,0.3735,0.7211,0.4747,0.4779,0.7436,0.6331,0.845598855527588
"459.2626@18.753345",0.157658578512822,0.3496,0.0286,0.4664,0.1718,0.7883,0.0934,0.318953786380757
"565.5441@24.33958",0.000151365008414173,0.5567,4e-04,0.0029,2e-04,0.0016,0.2272,0.00201504667451367
"298.1575@8.92225",0.506464362927354,0.8869,0.2308,0.5935,0.1686,0.4758,0.4282,0.616301343230989
"505.3176@22.498362",1.90307613632257e-05,0.2255,9e-04,1e-04,0.0033,0,0.2112,0.000525460466529065
"491.2335@22.186094",2.92520570704946e-05,0.0224,0,0,0.0045,0.0169,0.4492,0.000681481517064179
"422.1637@8.509638",0.177309097612001,0.1204,0.6025,0.4714,0.0405,0.2834,0.1956,0.346939454776237
"639.5815@27.887026",7.47886159213618e-06,0.0762,0,0,3e-04,0.0024,0.2363,0.000308653134445938
"604.5443@25.540516",0.00983745883598908,0.0908,0.0082,0.7358,0.2158,0.0368,0.0028,0.0459800975688392
"227.1882@16.15734",0.97181270967995,0.7859,0.9829,0.9144,0.6528,0.7741,0.8365,0.977920732853487
"144.9473@0.5385806",0.154291260733441,0.1573,0.0269,0.2642,0.3507,0.6895,0.1767,0.314273592559509
"381.1263@8.510621",0.47070374439042,0.2766,0.1384,0.2652,0.6481,0.9683,0.6035,0.585611942723352
"567.2658@22.444824",0.000220197448454362,0.2312,0.0216,6e-04,0.0991,3e-04,0.0274,0.00260566980670995
"286.8815@0.5418182",0.0945777862858775,0.2059,0.0137,0.2627,0.1723,0.8188,0.1007,0.228921232714681
"405.1574@4.6399264",0.587507346632074,0.5745,0.2003,0.4901,0.3564,0.8888,0.3965,0.682754055984741
"825.5311@24.170143",0.954704536185032,0.6698,0.9575,0.6775,0.7091,0.9913,0.7177,0.969662441043517
"563.2894@21.668707",0.343525441697171,0.552,0.0784,0.4802,0.2208,0.939,0.2223,0.486563792488089
"235.2148@14.379024",0.166863962428821,0.3873,0.0503,0.1019,0.1519,0.3107,0.5622,0.330843308485867
"295.0573@0.66048783",0.0118258083834204,0.0183,0.0062,0.0034,0.4298,0.1985,0.6849,0.052477024701428
"875.6531@27.163969",0.0828056112294366,0.3568,0.2081,0.7854,0.0154,0.1079,0.2165,0.209348083798119
"328.2408@22.714872",0.0199529773971282,0.8023,0.0078,0.0584,0.0126,0.0892,0.2546,0.0768730989641296
"655.5887@26.646631",0.021714479731453,0.8154,0.0311,0.0147,0.0472,0.0224,0.899,0.0801486294985746
"369.2718@22.855543",0.0713706440709221,0.143,0.0634,0.0157,0.5792,0.1395,0.413,0.191047810250888
"280.2769@23.040989",1.2108853302939e-05,0.0714,1e-04,0,0.0048,5e-04,0.5419,0.00038413404839749
"359.3037@19.80928",0.679466298461994,0.7594,0.2953,0.3966,0.4116,0.5519,0.7602,0.75455712774911
"590.0817@1.8363652",0.524422573793385,0.6794,0.7669,0.8127,0.1597,0.6804,0.2582,0.631084792192039
"359.3551@21.495203",0.343955893549595,0.3167,0.5895,0.5889,0.1306,0.1132,0.9712,0.486563792488089
"801.5675@26.000362",0.1140861036653,0.115,0.3771,0.0581,0.2128,0.5238,0.0629,0.259187446912322
"911.7463@28.83094",0.0203126730375763,0.3006,0.0665,0.4714,0.0035,0.0388,0.164,0.0778565436992964
"857.6748@26.295013",0.00176657304290195,0.185,0.0555,0.0392,0.002,9e-04,0.9967,0.0121942611433649
"225.0616@2.112446",0.0035684594651586,0.0041,0.0013,0.0018,0.086,0.1726,0.5627,0.0211133851688551
"539.2334@22.012804",0.0154706541816488,0.6552,0.0217,0.0073,0.0545,0.0212,0.7812,0.064252772659717
"370.3563@22.595987",3.07975918716341e-05,9e-04,1e-04,1e-04,0.0409,0.0046,0.4652,0.000706449376624715
"751.552@25.320925",0.00498694715810011,0.0408,8e-04,0.0155,0.0332,0.5878,0.0717,0.0268888171339134
"254.2248@22.60857",0.0102429477875068,0.1377,0.0027,0.0058,0.0489,0.1125,0.5377,0.0472824617683363
"741.532@24.478449",0.243715308421693,0.3017,0.303,0.9686,0.0493,0.2387,0.2818,0.409672519567919
"255.2201@18.85219",0.643845378906569,0.533,0.6165,0.555,0.2784,0.9544,0.2849,0.731412375711132
"426.083@8.508102",0.509296337437369,0.2667,0.1687,0.2636,0.7473,0.9516,0.6907,0.618372018826642
"253.2407@18.949871",0.0457182954234707,0.0568,0.0192,0.01,0.5492,0.4474,0.9098,0.139114241788561
"954.5704@22.241926",0.566895560817797,0.8582,0.3495,0.3325,0.3424,0.3049,0.9996,0.665020677560453
